# 首地区汉字设计为 32 输出， 第二个区域号字母设计为 26 输出， 车牌后所有位设计为 36 输出
origin      encode
0			0
1           		1
2			2
3			3
4			4
5			5
6			6
7			7
8			8
9			9

A			10
B			11
C			12
D			13
E			14
F			15
G			16
H			17
I			18
J			19
K			20
L			21
M			22
N			23
O			24
P			25
Q			26
R			27
S			28
T			29
U			30
V			31
W			32
X			33
Y			34
Z			35

京			36
津			37
沪			38
渝			39
蒙			40
新			41
藏			42
宁			43
桂			44
港			45(无)
澳			46(无)
黑			47
吉			48
辽			49
晋			50
翼			51
青			52
鲁			53
豫			54
苏			55
皖			56
浙			57
闽			58
赣			59
湘			60
鄂			61
粤			62
琼			63
甘			64
陕			65
贵			66
云			67
川			68
台			69


